Step,Distillation Loss,CE Loss,Accumulated Distillation Loss,Accumulated CE Loss
1,595.2505493164062,12.285977363586426,595.2505493164062,12.285977363586426
2,1757.270751953125,17.124767303466797,2352.5213012695312,29.410744667053223
3,812.1499633789062,13.085789680480957,3164.6712646484375,42.49653434753418
4,854.9771728515625,11.491519927978516,4019.6484375,53.988054275512695
5,456.20587158203125,9.660998344421387,4475.854309082031,63.64905261993408
6,360.0939636230469,10.221510887145996,4835.948272705078,73.87056350708008
7,575.8001708984375,9.431492805480957,5411.748443603516,83.30205631256104
8,550.7244262695312,9.516594886779785,5962.472869873047,92.81865119934082
9,562.4453125,9.348233222961426,6524.918182373047,102.16688442230225
10,426.912841796875,8.87835693359375,6951.831024169922,111.045241355896
11,627.593017578125,9.00993824005127,7579.424041748047,120.05517959594727
12,612.301513671875,9.389350891113281,8191.725555419922,129.44453048706055
13,414.58563232421875,8.96083927154541,8606.31118774414,138.40536975860596
14,424.55145263671875,8.421664237976074,9030.86264038086,146.82703399658203
15,395.87103271484375,8.150823593139648,9426.733673095703,154.97785758972168
16,334.978759765625,8.504855155944824,9761.712432861328,163.4827127456665
17,326.65252685546875,8.680521965026855,10088.364959716797,172.16323471069336
18,224.3677978515625,8.256163597106934,10312.73275756836,180.4193983078003
19,302.8844909667969,9.223073959350586,10615.617248535156,189.64247226715088
20,406.4181213378906,9.595109939575195,11022.035369873047,199.23758220672607
21,235.96238708496094,7.720518112182617,11257.997756958008,206.9581003189087
22,416.93212890625,8.940133094787598,11674.929885864258,215.8982334136963
23,468.9046630859375,8.578347206115723,12143.834548950195,224.476580619812
24,396.20062255859375,8.510260581970215,12540.035171508789,232.98684120178223
25,220.41940307617188,8.297904014587402,12760.454574584961,241.28474521636963
26,282.7287292480469,8.522905349731445,13043.183303833008,249.80765056610107
27,455.36572265625,9.164173126220703,13498.549026489258,258.9718236923218
28,248.98892211914062,8.945867538452148,13747.537948608398,267.9176912307739
29,229.36398315429688,8.287911415100098,13976.901931762695,276.205602645874
30,326.25286865234375,8.930882453918457,14303.154800415039,285.1364850997925
31,278.54266357421875,7.7904229164123535,14581.697463989258,292.92690801620483
32,193.90447998046875,8.53813648223877,14775.601943969727,301.4650444984436
33,193.89903259277344,8.85477066040039,14969.5009765625,310.319815158844
34,500.11956787109375,8.828878402709961,15469.620544433594,319.14869356155396
35,399.59228515625,8.485150337219238,15869.212829589844,327.6338438987732
36,286.7520446777344,8.903547286987305,16155.964874267578,336.5373911857605
37,335.8590393066406,8.631576538085938,16491.82391357422,345.16896772384644
38,502.1858825683594,8.844890594482422,16994.009796142578,354.01385831832886
39,170.239501953125,8.408895492553711,17164.249298095703,362.42275381088257
40,350.10223388671875,8.21853256225586,17514.351531982422,370.6412863731384
41,286.3263244628906,9.130071640014648,17800.677856445312,379.7713580131531
42,450.00689697265625,9.490382194519043,18250.68475341797,389.2617402076721
43,257.801513671875,9.530008316040039,18508.486267089844,398.79174852371216
44,333.5447998046875,9.128118515014648,18842.03106689453,407.9198670387268
45,323.4073486328125,8.8469877243042,19165.438415527344,416.766854763031
46,86.70916748046875,9.577909469604492,19252.147583007812,426.3447642326355
47,419.8175048828125,8.709373474121094,19671.965087890625,435.0541377067566
48,261.664306640625,8.504828453063965,19933.62939453125,443.55896615982056
49,88.29644775390625,9.01272964477539,20021.925842285156,452.57169580459595
50,149.45960998535156,8.594012260437012,20171.385452270508,461.16570806503296
51,259.65460205078125,8.88565444946289,20431.04005432129,470.05136251449585
52,391.9573059082031,8.291718482971191,20822.997360229492,478.34308099746704
53,218.22869873046875,8.549646377563477,21041.22605895996,486.8927273750305
54,155.62176513671875,8.390649795532227,21196.84782409668,495.28337717056274
55,356.6897888183594,8.210116386413574,21553.53761291504,503.4934935569763
56,259.26220703125,8.22125244140625,21812.79981994629,511.71474599838257
57,340.71917724609375,8.36445140838623,22153.518997192383,520.0791974067688
58,420.8208312988281,8.525732040405273,22574.33982849121,528.6049294471741
59,244.71961975097656,8.756278991699219,22819.059448242188,537.3612084388733
60,256.994873046875,8.331453323364258,23076.054321289062,545.6926617622375
61,335.813720703125,8.349288940429688,23411.868041992188,554.0419507026672
62,126.6737060546875,8.319668769836426,23538.541748046875,562.3616194725037
63,244.51141357421875,8.864653587341309,23783.053161621094,571.226273059845
64,121.04450225830078,8.753703117370605,23904.097663879395,579.9799761772156
65,353.6734619140625,8.951115608215332,24257.771125793457,588.9310917854309
66,259.5929870605469,8.749191284179688,24517.364112854004,597.6802830696106
67,217.61083984375,8.309398651123047,24734.974952697754,605.9896817207336
68,272.87176513671875,8.631836891174316,25007.846717834473,614.621518611908
69,176.03469848632812,9.451167106628418,25183.8814163208,624.0726857185364
70,234.51535034179688,8.930808067321777,25418.396766662598,633.0034937858582
71,131.93710327148438,8.45193099975586,25550.333869934082,641.455424785614
72,291.0523986816406,8.708490371704102,25841.386268615723,650.1639151573181
73,311.3845520019531,8.742189407348633,26152.770820617676,658.9061045646667
74,312.67364501953125,8.959151268005371,26465.444465637207,667.8652558326721
75,405.85430908203125,9.104084968566895,26871.29877471924,676.969340801239
76,156.73304748535156,7.445563316345215,27028.03182220459,684.4149041175842
77,81.5810775756836,8.901418685913086,27109.612899780273,693.3163228034973
78,235.20138549804688,8.484718322753906,27344.81428527832,701.8010411262512
79,170.09588623046875,9.239516258239746,27514.91017150879,711.040557384491
80,147.4916229248047,8.607690811157227,27662.401794433594,719.6482481956482
81,326.0059814453125,9.299946784973145,27988.407775878906,728.9481949806213
82,212.93618774414062,8.775614738464355,28201.343963623047,737.7238097190857
83,224.80715942382812,8.096572875976562,28426.151123046875,745.8203825950623
84,289.36505126953125,8.463692665100098,28715.516174316406,754.2840752601624
85,210.88665771484375,8.800521850585938,28926.40283203125,763.0845971107483
